question,target
"Consider the following premises: If it is cloudy, then David is excited. If David were excited, then it is cloudy. It is cloudy if and only if it is not raining. If David were excited, then it is raining and if it rains, then David is excited. Can we infer the following from them? Answer yes or no: It is cloudy.",yes
"Consider the following premises: Linda is an electrician if and only if it is cold. Linda is an electrician if and only if it is cold. If Linda were an electrician, then it is cold. Can we infer the following from them? Answer yes or no: Linda is not an electrician or it is cold.",yes
"Consider the following premises: If Karen drinks water, then it is late. David is not a janitor or Karen is drinking water. Sarah is driving a car or Sarah is driving a car. Elisabeth is working. If David were a janitor, then Sarah is driving a car and if Sarah drives a car, then David is a janitor. Can we infer the following from them? Answer yes or no: It is late and Elisabeth is working.",yes
"Consider the following premises: If David plays squash, then it is windy. If Michael drives a car, then Jessica is taking a plane. Jessica is playing tennis if and only if Michael is driving a car. Jessica is playing tennis if and only if Michael is driving a car. If Michael drives a car, then David is playing squash. If it is windy, then Jessica is playing tennis and if Jessica plays tennis, then it is windy. Can we infer the following from them? Answer yes or no: If Jessica plays tennis, then Jessica is taking a plane.",yes
"Consider the following premises: If Jessica were an office clerk, then Sarah is a police officer. If Sarah were a police officer, then Jessica is running. If Jessica goes running, then Jessica is an office clerk. Jessica is an office clerk if and only if Jessica is running. Can we infer the following from them? Answer yes or no: Michael is not a musician.",no
"Consider the following premises: If David were rich, then it is cold. If it is windy, then David is rich. If William goes running, then David is rich. It is windy if and only if Susan is listening to a song. Jennifer is making tea. If it is sunny, then William is running. If it is cold, then it is sunny. It is not sunny. If David were rich, then it is windy. Can we infer the following from them? Answer yes or no: Jennifer is making tea and Susan is not listening to a song.",yes
"Consider the following premises: If it is overcast, then Linda is reading a book. If it is overcast, then Susan is drinking water and if Susan drinks water, then it is overcast. If Linda reads a book, then it is overcast. Susan is drinking water if and only if Linda is reading a book. Can we infer the following from them? Answer yes or no: It is not overcast or Susan is drinking water.",yes
"Consider the following premises: It is overcast if and only if Joseph is an office clerk. It is not overcast. It is raining if and only if Richard is a police officer. If it rains, then Richard is a police officer. If Richard were a police officer, then it is raining. If it rains, then Joseph is an office clerk and if Joseph were an office clerk, then it is raining. Can we infer the following from them? Answer yes or no: Richard is a police officer.",no
"Consider the following premises: The claim that James is driving a car and the claim that it is sunny cannot both be true. If it is overcast, then it is late. If it is late, then it is sunny. If it is not overcast, then it is sunny. Can we infer the following from them? Answer yes or no: Joseph is not taking a plane.",no
"Consider the following premises: If Elisabeth cooks, then Joseph is making tea and if Joseph makes tea, then Elisabeth is cooking. The claim that it is raining and the claim that James is sleeping cannot both be true. Joseph is making tea if and only if Robert is writing a letter. James is sleeping or Elisabeth is cooking. If Elisabeth cooks, then Robert is writing a letter. If it doesn't rain, then Joseph is making tea. Can we infer the following from them? Answer yes or no: Elisabeth is cooking.",yes
"Consider the following premises: Susan is not running or Robert is playing tennis. Susan is running and it is snowing. It is windy if and only if Susan is running. If Robert plays tennis, then it is windy. Can we infer the following from them? Answer yes or no: It is windy.",yes
"Consider the following premises: Barbara is driving a car if and only if Michael is climbing a mountain. If Barbara drives a car, then it is not overcast. Michael is climbing a mountain if and only if it is snowing. If Barbara drives a car, then Michael is climbing a mountain. It is overcast. Can we infer the following from them? Answer yes or no: It is snowing.",no
Consider the following premises: Mary is playing a game if and only if John is fast. Mary is playing a game if and only if John is fast. It is overcast if and only if Elisabeth is making tea. It is not overcast. Elisabeth is making tea if and only if Mary is playing a game. Can we infer the following from them? Answer yes or no: John is fast.,no
"Consider the following premises: If John were a nurse, then James is working. If it is cloudy, then John is taking a plane. If John takes a plane, then it is late. John is a nurse or it is snowing. If it rains, then James is working. If John were a nurse, then William is playing squash. If William plays squash, then it is cloudy. If it is late, then it is raining. If James works, then John is a nurse. James is working if and only if it is snowing. Can we infer the following from them? Answer yes or no: Sarah is cooking.",no
"Consider the following premises: If Barbara reads a book, then it is cold. If Thomas were a lawyer, then Barbara is sad. If Thomas were a lawyer, then it is cold. If Barbara were sad, then Thomas is a lawyer. If Barbara doesn't read a book, then Barbara is sad. If it is cold, then Thomas is a lawyer. Can we infer the following from them? Answer yes or no: Thomas is a lawyer.",yes
"Consider the following premises: If Mary climbs a mountain, then Charles is driving a car and if Charles drives a car, then Mary is climbing a mountain. If Charles drives a car, then Joseph is a scientist. If Joseph were a scientist, then Charles is driving a car. Mary is climbing a mountain. Can we infer the following from them? Answer yes or no: Joseph is not a scientist.",no
"Consider the following premises: If Elisabeth were rich, then Joseph is sleeping. If it is cloudy, then it is cold. If Sarah plays squash, then Elisabeth is rich. If it is cold, then Sarah is playing squash. Joseph is not sleeping. If it is cold, then it is cloudy. If Sarah plays squash, then it is cold. Can we infer the following from them? Answer yes or no: It is cloudy.",no
"Consider the following premises: Patricia is a bartender if and only if Michael is sad. If Michael were sad, then Patricia is a bartender and if Patricia were a bartender, then Michael is sad. If Patricia were a bartender, then Michael is sad. Can we infer the following from them? Answer yes or no: Patricia is a bartender or Michael is not sad.",yes
"Consider the following premises: It is snowing if and only if Susan is cooking. If it snows, then Susan is cooking. If it snows, then Susan is cooking. Can we infer the following from them? Answer yes or no: It is not cold.",no
"Consider the following premises: Sarah is a scientist. Jessica is playing tennis if and only if Sarah is not a scientist. Jessica is playing tennis if and only if Sarah is not a scientist. If Jessica plays tennis, then Sarah is not a scientist. Can we infer the following from them? Answer yes or no: It is snowing.",no
"Consider the following premises: Robert is a sailor if and only if Mary is an artist. If Linda plays a game, then John is playing squash. If Thomas were happy, then John is playing squash. Robert is not a sailor or Thomas is happy. John is playing squash if and only if Linda is playing a game. Can we infer the following from them? Answer yes or no: Mary is not an artist or Linda is playing a game.",yes
"Consider the following premises: If Barbara plays squash, then it is snowing. Barbara is not playing squash or it is snowing. It is not snowing or Barbara is playing squash. It is late if and only if it is snowing. Can we infer the following from them? Answer yes or no: It is not late or Barbara is playing squash.",yes
"Consider the following premises: If Charles were a cashier, then Sarah is playing tennis. If Richard plays squash, then Michael is a mechanic. If Sarah plays tennis, then Charles is a cashier. If Michael were a mechanic, then Charles is a cashier. If Sarah plays tennis, then Charles is a cashier. Richard is not playing squash. Charles is not a cashier or Richard is playing squash. Can we infer the following from them? Answer yes or no: It is cold.",no
"Consider the following premises: The claim that it is cloudy and the claim that Susan is taking a plane cannot both be true. It is not cloudy or Susan is not taking a plane. Susan is not taking a plane if and only if it is cloudy. Susan is not taking a plane if and only if it is cloudy. Can we infer the following from them? Answer yes or no: If it is cloudy, then Susan is not taking a plane and if Susan doesn't take a plane, then it is cloudy.",yes
"Consider the following premises: If Susan goes running, then it is raining. It is raining if and only if Elisabeth is listening to a song. Susan is not running or it is raining. If it rains, then Susan is running. Can we infer the following from them? Answer yes or no: Neither Susan is running nor Elisabeth is not listening to a song.",no
"Consider the following premises: If it is windy, then Jennifer is playing a game. If Linda were an artist, then Jennifer is playing a game. Linda is an artist. If Linda were an artist, then Jennifer is playing a game and if Jennifer plays a game, then Linda is an artist. If Patricia writes a letter, then it is windy. If Jennifer plays a game, then Patricia is writing a letter. Can we infer the following from them? Answer yes or no: Thomas is a writer.",no
"Consider the following premises: If William were a soldier, then it is windy. If it is windy, then Charles is working. If Karen listens to a song, then Linda is a politician. If Linda were a politician, then it is windy. It is windy if and only if Karen is listening to a song. It is windy if and only if Charles is working. If Linda were a politician, then William is a soldier. Can we infer the following from them? Answer yes or no: If Charles works, then William is a soldier.",yes
"Consider the following premises: If James listens to a song, then Patricia is a doctor. If Barbara works, then it is cloudy. James is listening to a song if and only if Patricia is a doctor. If it is cloudy, then James is listening to a song and if James listens to a song, then it is cloudy. Barbara is working if and only if Patricia is a doctor. Can we infer the following from them? Answer yes or no: Patricia is a doctor if and only if James is listening to a song.",yes
"Consider the following premises: James is a doctor if and only if it is raining. James is a doctor if and only if it is raining. Sarah is running if and only if it is raining. If James were a doctor, then Sarah is running. Can we infer the following from them? Answer yes or no: Sarah is not running or it is raining.",yes
"Consider the following premises: If Thomas climbs a mountain, then it is windy and if it is windy, then Thomas is climbing a mountain. Linda is reading a book if and only if it is windy. Linda is not reading a book or it is windy. Michael is playing a game if and only if Thomas is climbing a mountain. Michael is not playing a game. Can we infer the following from them? Answer yes or no: Jessica is a nurse.",no
"Consider the following premises: The claim that it is snowing and the claim that it is overcast cannot both be true. It is not cloudy or John is a poet. It is not cloudy. If John were a poet, then it is cloudy. It is snowing. John is not a poet or it is cloudy. Can we infer the following from them? Answer yes or no: It is not overcast and John is not a poet.",yes
"Consider the following premises: If Sarah sleeps, then it is snowing. Mary is not excited or it is snowing. Barbara is climbing a mountain. Sarah is sleeping if and only if it is snowing. Mary is excited. Can we infer the following from them? Answer yes or no: Sarah is sleeping.",yes
