question,target
Consider the following premises: Karen is not climbing a mountain or William is running. Thomas is not making tea or it is cloudy. The claim that William is running and the claim that William is a lawyer cannot both be true. Karen is climbing a mountain or Thomas is making tea. Can we infer the following from them? Answer yes or no: William is not a lawyer or it is cloudy.,yes
"Consider the following premises: It is overcast. If it is overcast, then Jessica is an artist. Can we infer the following from them? Answer yes or no: Charles is driving a car or Jessica is an artist.",yes
"Consider the following premises: It is windy if and only if it is sunny. If James were rich, then it is snowing. If it is sunny, then James is rich. It is not snowing. Can we infer the following from them? Answer yes or no: It is windy.",no
Consider the following premises: Charles is a doctor if and only if Barbara is a taxi driver. It is not overcast. It is overcast if and only if Charles is a doctor. Can we infer the following from them? Answer yes or no: William is not reading a book.,no
"Consider the following premises: It is sunny if and only if it is cold. If David makes tea, then it is sunny. It is not sunny or it is cold. Can we infer the following from them? Answer yes or no: If David makes tea, then it is cold.",yes
Consider the following premises: It is cloudy if and only if Thomas is rich. Can we infer the following from them? Answer yes or no: It is not raining.,no
"Consider the following premises: If it rains, then Richard is not working. Richard is working. Can we infer the following from them? Answer yes or no: It is raining.",no
Consider the following premises: Elisabeth is not working. James is a server if and only if Elisabeth is playing a game. Elisabeth is playing a game if and only if Elisabeth is working. Can we infer the following from them? Answer yes or no: James is a server.,no
"Consider the following premises: If Robert were a janitor, then it is cloudy. If it is cloudy, then Robert is a janitor. It is cold or Joseph is drinking water. It is not cold or Sarah is cooking. Robert is not a janitor. Joseph is drinking water if and only if it is cloudy. Can we infer the following from them? Answer yes or no: Sarah is cooking.",yes
"Consider the following premises: It is sunny if and only if it is overcast. If it is late, then Patricia is not poor. Patricia is poor. If it is sunny, then it is late. If it is late, then it is sunny. Can we infer the following from them? Answer yes or no: It is not overcast.",yes
"Consider the following premises: Karen is not climbing a mountain. Mary is not fast or Karen is climbing a mountain. If Karen climbs a mountain, then Mary is fast. If Mary were fast, then Karen is climbing a mountain. Can we infer the following from them? Answer yes or no: Mary is not fast.",yes
Consider the following premises: Charles is not a server if and only if James is a writer. Karen is working or Charles is a server. Karen is not working. Can we infer the following from them? Answer yes or no: James is not a writer.,yes
Consider the following premises: James is reading a book. It is overcast. Can we infer the following from them? Answer yes or no: It is not overcast.,no
"Consider the following premises: Mary is not playing squash. If Mary were poor, then Mary is playing squash. Michael is not excited or Mary is poor. Can we infer the following from them? Answer yes or no: Michael is excited.",no
"Consider the following premises: If Mary cooks, then John is playing tennis. If Mary cooks, then it is snowing. If it snows, then Mary is cooking. John is not playing tennis. Can we infer the following from them? Answer yes or no: Thomas is not excited.",no
"Consider the following premises: If Elisabeth reads a book, then Patricia is playing tennis. Patricia is not listening to a song or Patricia is playing tennis. Elisabeth is reading a book or Patricia is listening to a song. Patricia is playing tennis if and only if Elisabeth is reading a book. Can we infer the following from them? Answer yes or no: Patricia is playing tennis.",yes
"Consider the following premises: If it is cloudy, then Joseph is drinking water. If Joseph drinks water, then Thomas is playing squash and if Thomas plays squash, then Joseph is drinking water. Thomas is not playing squash. If Joseph drinks water, then it is cloudy. Can we infer the following from them? Answer yes or no: Michael is not excited.",no
"Consider the following premises: If John goes running, then Jessica is listening to a song. It is windy if and only if John is running. If it is windy, then Jessica is listening to a song. If Jessica listens to a song, then it is windy. Can we infer the following from them? Answer yes or no: It is not true that John is running if and only if it is windy.",no
"Consider the following premises: The claim that it is windy and the claim that it is raining cannot both be true. If Jennifer listens to a song, then it is not raining. If it doesn't rain, then Jennifer is listening to a song. Can we infer the following from them? Answer yes or no: If it is windy, then Jennifer is listening to a song.",yes
"Consider the following premises: It is raining if and only if it is cloudy. If it is cloudy, then Susan is reading a book. It is raining. If Susan reads a book, then it is sunny. Can we infer the following from them? Answer yes or no: It is not sunny.",no
"Consider the following premises: If Karen takes a plane, then it is raining and if it rains, then Karen is taking a plane. It is windy or it is raining. Can we infer the following from them? Answer yes or no: It is windy or Karen is taking a plane.",yes
"Consider the following premises: Charles is not a mechanic or Jessica is happy. If Jessica were happy, then Charles is a mechanic. Jessica is not happy. Can we infer the following from them? Answer yes or no: Charles is not a mechanic.",yes
"Consider the following premises: It is not late or Susan is reading a book. If Barbara plays tennis, then it is late. Barbara is playing tennis. Susan is reading a book if and only if it is cold. Can we infer the following from them? Answer yes or no: It is cold.",yes
"Consider the following premises: James is a writer or it is cloudy. If James were a writer, then Elisabeth is rich. Elisabeth is not rich or James is a writer. Can we infer the following from them? Answer yes or no: Neither it is cloudy nor Elisabeth is rich.",no
"Consider the following premises: If it is late, then it is sunny and if it is sunny, then it is late. Can we infer the following from them? Answer yes or no: David is not reading a book.",no
"Consider the following premises: It is not snowing. If Thomas writes a letter, then it is late. If it is late, then it is snowing. If it is late, then Thomas is writing a letter. If it snows, then it is late. Can we infer the following from them? Answer yes or no: Thomas is not writing a letter.",yes
"Consider the following premises: If Thomas sleeps, then it is late. It is snowing if and only if Thomas is sleeping. It is not snowing. If it is late, then Thomas is sleeping. It is not late if and only if it is windy. Can we infer the following from them? Answer yes or no: Michael is a soldier.",no
"Consider the following premises: Thomas is poor. If James listens to a song, then James is playing squash and if James plays squash, then James is listening to a song. If James listens to a song, then Thomas is not poor. Can we infer the following from them? Answer yes or no: James is not playing squash.",yes
"Consider the following premises: It is cold if and only if James is a cashier. It is cold if and only if Susan is sleeping. If Susan sleeps, then James is a cashier. Can we infer the following from them? Answer yes or no: If Susan sleeps, then it is cold and if it is cold, then Susan is sleeping.",yes
"Consider the following premises: If it is overcast, then Michael is writing a letter. If Michael writes a letter, then it is overcast and if it is overcast, then Michael is writing a letter. Can we infer the following from them? Answer yes or no: Michael is not writing a letter or it is overcast.",yes
"Consider the following premises: If John were a poet, then it is windy. Karen is an artist if and only if John is a poet. If it is windy, then Elisabeth is a doctor. If Elisabeth were a doctor, then Karen is an artist. Can we infer the following from them? Answer yes or no: If Karen were an artist, then John is a poet and if John were a poet, then Karen is an artist.",yes
"Consider the following premises: If James were an electrician, then Michael is running. If Sarah were excited, then Michael is running. If Jennifer were poor, then Sarah is excited. If Michael goes running, then James is an electrician. James is not an electrician. Can we infer the following from them? Answer yes or no: Barbara is a cashier.",no
"Consider the following premises: If Mary drinks water, then John is a nurse. If John were a nurse, then it is overcast. If John were a nurse, then Mary is drinking water. Can we infer the following from them? Answer yes or no: If Mary drinks water, then it is overcast.",yes
"Consider the following premises: If it is cold, then it is raining. If Joseph were rich, then it is raining and if it rains, then Joseph is rich. Joseph is not rich. Can we infer the following from them? Answer yes or no: It is not cold.",yes
