question,target
Consider the following premises: David is playing a game if and only if it is cloudy. Can we infer the following from them? Answer yes or no: The fact that David plays a game does not imply that it is cloudy.,no
Consider the following premises: It is snowing or it is late. The claim that it is late and the claim that it is cold cannot both be true. Can we infer the following from them? Answer yes or no: It is snowing or it is not cold.,yes
Consider the following premises: Susan is a writer if and only if William is excited. Susan is not a writer. Can we infer the following from them? Answer yes or no: William is not excited.,yes
"Consider the following premises: If John were a writer, then Joseph is not working. John is a writer or Susan is a bartender. Joseph is working. Can we infer the following from them? Answer yes or no: Susan is a bartender or it is cloudy.",yes
"Consider the following premises: Joseph is a lawyer. If Joseph were a lawyer, then it is snowing. Can we infer the following from them? Answer yes or no: It is snowing.",yes
"Consider the following premises: If Robert works, then it is sunny. It is not raining or Robert is working. If it is sunny, then it is raining. Can we infer the following from them? Answer yes or no: It is sunny if and only if it is raining.",yes
Consider the following premises: It is cold if and only if Michael is a carpenter. Can we infer the following from them? Answer yes or no: David is not an artist.,no
"Consider the following premises: Mary is an artist if and only if Richard is an electrician. Can we infer the following from them? Answer yes or no: If Richard were an electrician, then Mary is an artist.",yes
"Consider the following premises: If it is late, then Mary is a taxi driver. If Mary were a taxi driver, then it is late. If Barbara were a mechanic, then Mary is a taxi driver. Can we infer the following from them? Answer yes or no: The fact that Barbara were a mechanic does not imply that it is late.",no
"Consider the following premises: If it is cold, then Joseph is working. If it is sunny, then it is cold. Can we infer the following from them? Answer yes or no: If it is sunny, then Joseph is working.",yes
Consider the following premises: Jessica is not working. Michael is happy if and only if Jessica is working. Michael is a janitor if and only if Michael is happy. David is rich if and only if Michael is a janitor. Can we infer the following from them? Answer yes or no: David is not rich.,yes
"Consider the following premises: If Michael were a police officer, then James is a server and if James were a server, then Michael is a police officer. Can we infer the following from them? Answer yes or no: Susan is a cashier.",no
"Consider the following premises: If Michael plays tennis, then Charles is a server. If Michael plays tennis, then it is cloudy. Charles is not a server. If it is cloudy, then Michael is playing tennis. Can we infer the following from them? Answer yes or no: It is not snowing.",no
"Consider the following premises: It is not raining or Richard is an office clerk. If Richard were an office clerk, then it is raining. Can we infer the following from them? Answer yes or no: The claim that if it rains, then Richard is an office clerk and the claim that if Richard were an office clerk, then it is raining cannot both be true.",no
"Consider the following premises: If it is windy, then it is raining. David is a sailor if and only if it is windy. Can we infer the following from them? Answer yes or no: David is not a sailor or it is raining.",yes
"Consider the following premises: Susan is sad. If Susan were not sad, then Jessica is climbing a mountain and if Jessica climbs a mountain, then Susan is not sad. Can we infer the following from them? Answer yes or no: Jessica is not climbing a mountain.",yes
"Consider the following premises: If it rains, then William is a lawyer. Michael is a soldier. If Jennifer doesn't write a letter, then it is raining. If Jennifer writes a letter, then Michael is not a soldier. Can we infer the following from them? Answer yes or no: William is a lawyer.",yes
"Consider the following premises: If it rains, then Michael is writing a letter. Michael is writing a letter if and only if Jessica is an electrician. Jessica is not an electrician. Can we infer the following from them? Answer yes or no: It is not raining.",yes
Consider the following premises: It is windy if and only if Patricia is an artist. Can we infer the following from them? Answer yes or no: The fact that it is windy does not imply that Patricia is an artist.,no
Consider the following premises: It is sunny if and only if it is late. David is not a writer. It is not late or David is a writer. Can we infer the following from them? Answer yes or no: It is sunny.,no
Consider the following premises: John is sleeping. The claim that John is sleeping and the claim that Michael is writing a letter cannot both be true. Can we infer the following from them? Answer yes or no: It is snowing.,no
"Consider the following premises: It is cold if and only if Charles is playing a game. If Charles plays a game, then Patricia is playing squash. Patricia is not playing squash. Can we infer the following from them? Answer yes or no: It is not cold.",yes
"Consider the following premises: Joseph is a lawyer or David is cooking. If Joseph were a lawyer, then it is late. It is late if and only if David is cooking. Can we infer the following from them? Answer yes or no: It is not late.",no
Consider the following premises: It is not cloudy or it is raining. It is not raining. Can we infer the following from them? Answer yes or no: It is not cloudy or it is cold.,yes
Consider the following premises: Patricia is not a soldier. It is cloudy if and only if Patricia is a soldier. Can we infer the following from them? Answer yes or no: It is not cloudy.,yes
"Consider the following premises: Mary is playing tennis or it is cloudy. The claim that it is cloudy and the claim that Linda is playing a game cannot both be true. If Mary plays tennis, then Linda is not playing a game. Can we infer the following from them? Answer yes or no: Linda is not playing a game.",yes
"Consider the following premises: Michael is drinking water or Thomas is listening to a song. If it is late, then it is not windy. If it is overcast, then it is late. If Michael drinks water, then it is windy. If Thomas listens to a song, then it is windy. Can we infer the following from them? Answer yes or no: It is not overcast.",yes
"Consider the following premises: It is late if and only if it is raining. If it is late, then it is raining. Can we infer the following from them? Answer yes or no: If it is late, then it is raining and if it rains, then it is late.",yes
Consider the following premises: William is a sailor or it is raining. It is raining if and only if it is overcast. It is overcast if and only if William is a sailor. Can we infer the following from them? Answer yes or no: It is overcast.,yes
