question,target
"Consider the following premises: Barbara is working. If it is windy, then Barbara is not working. Can we infer the following from them? Answer yes or no: It is windy.",no
"Consider the following premises: Joseph is listening to a song, and either it is snowing or it is overcast. Can we infer the following from them? Answer yes or no: either Joseph is listening to a song and it is snowing, or Joseph is listening to a song and it is overcast.",yes
Consider the following premises: Mary is writing a letter or it is windy. Mary is not writing a letter or Robert is a carpenter. Can we infer the following from them? Answer yes or no: It is windy or Robert is a carpenter.,yes
"Consider the following premises: It is sunny if and only if Susan is a doctor. Can we infer the following from them? Answer yes or no: If it is sunny, then Susan is a doctor and if Susan were a doctor, then it is sunny.",yes
"Consider the following premises: If James were a carpenter, then Susan is making tea. James is a carpenter or Patricia is reading a book. If Patricia reads a book, then Susan is making tea. Can we infer the following from them? Answer yes or no: Susan is not making tea.",no
"Consider the following premises: Barbara is a doctor. If Richard plays a game, then Barbara is not a doctor. Can we infer the following from them? Answer yes or no: Richard is playing a game.",no
Consider the following premises: Thomas is not taking a plane. Thomas is taking a plane if and only if it is snowing. Can we infer the following from them? Answer yes or no: Thomas is playing tennis.,no
Consider the following premises: It is snowing or it is snowing. Can we infer the following from them? Answer yes or no: It is snowing.,yes
Consider the following premises: It is windy and Jennifer is a bartender and Karen is taking a plane. Can we infer the following from them? Answer yes or no: It is late.,no
"Consider the following premises: If Susan were happy, then David is writing a letter. Susan is happy. Can we infer the following from them? Answer yes or no: David is writing a letter.",yes
"Consider the following premises: If it rains, then Robert is making tea and if Robert makes tea, then it is raining. Can we infer the following from them? Answer yes or no: It is raining if and only if Robert is making tea.",yes
Consider the following premises: The claim that it is sunny and the claim that it is overcast cannot both be true. Can we infer the following from them? Answer yes or no: It is not sunny or it is not overcast.,yes
"Consider the following premises: Joseph is reading a book. If Joseph reads a book, then Patricia is an artist. Can we infer the following from them? Answer yes or no: Patricia is an artist.",yes
Consider the following premises: It is cold and it is overcast. Can we infer the following from them? Answer yes or no: It is overcast and it is cold.,yes
Consider the following premises: It is not raining. It is raining if and only if David is a sailor. Can we infer the following from them? Answer yes or no: Mary is not happy.,no
Consider the following premises: It is late and it is cold. Can we infer the following from them? Answer yes or no: It is late.,yes
Consider the following premises: Sarah is an office clerk. Can we infer the following from them? Answer yes or no: Sarah is not an office clerk.,no
