question,target
"Consider the following premises: If Sarah were an office clerk, then Thomas is happy. Thomas is not happy. Sarah is not an office clerk if and only if Elisabeth is an artist. If Thomas were happy, then Sarah is an office clerk. Sarah is taking a plane and Sarah is taking a plane. Can we infer the following from them? Answer yes or no: Elisabeth is an artist.",yes
Consider the following premises: It is cold if and only if Elisabeth is a taxi driver. Elisabeth is a taxi driver if and only if it is cold. Can we infer the following from them? Answer yes or no: Elisabeth is not a taxi driver or it is cold.,yes
"Consider the following premises: If Robert plays a game, then William is not making tea. If Charles were not a poet, then William is making tea. If Charles were a poet, then it is raining. If William makes tea, then it is raining and if it rains, then William is making tea. Can we infer the following from them? Answer yes or no: Robert is not playing a game.",yes
"Consider the following premises: If James cooks, then it is cloudy. Susan is climbing a mountain or James is cooking. Susan is climbing a mountain if and only if Michael is taking a plane. If Michael takes a plane, then it is cloudy. If it is cloudy, then James is cooking. Can we infer the following from them? Answer yes or no: It is cloudy.",yes
"Consider the following premises: The claim that Michael is a sailor and the claim that Sarah is a mechanic cannot both be true. If Michael were a sailor, then Karen is working. Charles is bored if and only if Sarah is not a mechanic. If Karen works, then Michael is a sailor. Can we infer the following from them? Answer yes or no: The fact that Karen works does not imply that Charles is bored.",no
"Consider the following premises: If William were happy, then Jennifer is climbing a mountain. William is happy. If it is late, then it is not overcast. The claim that Barbara is making tea and the claim that it is overcast cannot both be true. If Jennifer climbs a mountain, then Barbara is making tea. Can we infer the following from them? Answer yes or no: It is not overcast.",yes
"Consider the following premises: If Barbara drives a car, then Patricia is a sailor. If it snows, then Barbara is driving a car. If Barbara drives a car, then it is snowing. If Patricia were a sailor, then Barbara is driving a car. Can we infer the following from them? Answer yes or no: If Patricia were a sailor, then it is snowing.",yes
"Consider the following premises: Charles is not a mechanic. If Susan drives a car, then it is overcast. If it is cloudy, then Charles is a mechanic and if Charles were a mechanic, then it is cloudy. If Susan drives a car, then it is overcast. It is cloudy if and only if it is overcast. If it is overcast, then Susan is driving a car. Can we infer the following from them? Answer yes or no: Susan is not driving a car.",yes
"Consider the following premises: James is not a soldier. If John were a janitor, then Linda is a politician. If James were a server, then John is a janitor. Susan is a lawyer if and only if Linda is a politician. If Susan were a lawyer, then it is cold. If it is cold, then James is a soldier and if James were a soldier, then it is cold. Can we infer the following from them? Answer yes or no: James is a server.",no
"Consider the following premises: It is snowing if and only if Robert is writing a letter. Elisabeth is happy if and only if it is snowing. If Robert writes a letter, then Elisabeth is happy. Elisabeth is not happy. If Robert writes a letter, then it is snowing. Can we infer the following from them? Answer yes or no: It is not snowing.",yes
